Scaler,Model,Accuracy,Training Time
robust,LightGBM,0.998,0.10931539535522461
standard,LightGBM,0.996,0.10632061958312988
minmax,LightGBM,0.996,0.09363818168640137
standard,XGBoost,0.994,0.07915353775024414
robust,XGBoost,0.994,0.07598185539245605
minmax,XGBoost,0.994,0.0764765739440918
minmax,Random Forest,0.986,0.4171593189239502
standard,Random Forest,0.986,0.48387646675109863
robust,Random Forest,0.986,0.4899468421936035
standard,Decision Tree,0.974,0.016776323318481445
robust,Decision Tree,0.974,0.016704797744750977
minmax,Decision Tree,0.974,0.017110347747802734
robust,SVM,0.882,0.4232950210571289
standard,KNN,0.88,0.001497507095336914
standard,SVM,0.874,0.4113600254058838
robust,Logistic Regression,0.864,0.006576061248779297
standard,Logistic Regression,0.862,0.00478672981262207
minmax,Logistic Regression,0.858,0.013029336929321289
robust,KNN,0.856,0.0015287399291992188
minmax,SVM,0.852,0.48700833320617676
minmax,KNN,0.818,0.0014655590057373047
